"ZipCode","MedianIncome"
"05075","98182"
"05076","61250"
"05077","61438"
"05079","47462"
"05081","32434"
"05083","26389"
"05084","56134"
"05086","44940"
"05089","48463"
"05091","74615"
"05101","35331"
"05141","16786"
"05142","50250"
"05143","49265"
"05146","47614"
"05148","57742"
"05149","45000"
"05150","27016"
"05151","43393"
"05152","57333"
"05153","49408"
"05154","41094"
"05155","42448"
"05156","48085"
"05158","49063"
"05161","63333"
"05201","37076"
"05250","54365"
"05251","70966"
"05252","48000"
"05253","76458"
"05254","130000"
"05255","44497"
"05257","48750"
"05260","59176"
"05261","59091"
"05262","62727"
"05301","50873"
"05340","54375"
"05341","58417"
"05342","47813"
"05343","55074"
"05345","54397"
"05346","56942"
"05350","39000"
"05352","59000"
"05353","52500"
"05354","60385"
"05355","39000"
"05356","37981"
"05358","46875"
"05359","50313"
"05360","58125"
"05361","52596"
"05362","95781"
"05363","63077"
"05401","37708"
"05403","68629"
"05404","44020"
"05405","-"
"05408","64902"
"05439","-"
"05440","55733"
"05441","61944"
"05442","61250"
"05443","59360"
"05444","67500"
"05445","111667"
"05446","69297"
"05447","32250"
"05448","66250"
"05450","54932"
"05452","73681"
"05454","71705"
"05455","69125"
"05456","59808"
"05457","53950"
"05458","61123"
"05459","44279"
"05461","61436"
"05462","74118"
"05463","52083"
"05464","61250"
"05465","93768"
"05468","66404"
"05471","49250"
"05472","69792"
"05473","75455"
"05474","68750"
"05476","43750"
"05477","74673"
"05478","53665"
"05481","-"
"05482","96528"
"05483","64018"
"05485","37404"
"05486","73013"
"05487","62557"
"05488","53548"
"05489","89583"
"05491","58226"
"05492","54583"
"05494","87969"
"05495","74778"
"05602","62052"
"05640","51375"
"05641","50130"
"05647","42222"
"05648","62813"
"05649","70833"
"05650","61771"
"05651","64375"
"05652","53611"
"05653","40333"
"05654","44896"
"05655","44309"
"05656","35370"
"05657","96250"
"05658","45588"
"05660","78261"
"05661","45229"
"05663","70229"
"05664","-"
"05667","60000"
"05669","41845"
"05672","66479"
"05673","75602"
"05674","62961"
"05675","53654"
"05676","60000"
"05677","67009"
"05678","66719"
"05679","49722"
"05680","50161"
"05681","70313"
"05682","53036"
"05701","41159"
"05730","57813"
"05732","48875"
"05733","54107"
"05734","60833"
"05735","63365"
"05736","52031"
"05737","58182"
"05738","66612"
"05739","57540"
"05740","-"
"05742","45521"
"05743","46488"
"05744","65608"
"05747","58250"
"05748","38250"
"05751","59219"
"05753","58150"
"05757","51304"
"05758","53958"
"05759","52882"
"05760","56406"
"05761","47031"
"05762","67656"
"05763","54094"
"05764","43214"
"05765","50074"
"05766","56705"
"05767","48750"
"05769","54167"
"05770","69875"
"05772","53750"
"05773","50977"
"05774","42583"
"05775","41528"
"05776","49219"
"05777","49720"
"05778","55750"
"05819","45200"
"05820","39514"
"05821","62102"
"05822","33750"
"05824","37115"
"05825","36563"
"05826","50208"
"05827","39531"
"05828","54115"
"05829","37896"
"05830","43698"
"05832","59375"
"05833","35000"
"05836","49545"
"05837","40231"
"05839","44559"
"05841","59464"
"05842","46667"
"05843","39875"
"05845","40962"
"05846","28182"
"05847","46875"
"05850","-"
"05851","38810"
